first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
äArtur;Rubinstein;in  Enzland  geadelt;-;-;-;1.4.77;-;MBNR.8.PER.237
Shlomo;Rülf;;Dr.;Nachruf;-;1.10.76;-;MBNR.8.PER.238
Arthur;kuppin;loo.Geburtstag(krolik);-;-;-;27.2.76;-;MBNR.8.PER.239
irof.Dov;Sadan;irof  Dov;-;-;-;-;-;MBNR.8.PER.240
tans;Sarmel;Jochanan(kiusiker)  lachruf;-;-;-;2.4.76;-;MBNR.8.PER.241
Finchas;Sapir;llachruf(Cansan);-;-;-;22.93.75;-;MBNR.8.PER.242
David;Sassoon;Salomon  (Versteigerung  Sammlung);-;-;-;14.11.75;-;MBNR.8.PER.243
Hanna;Schall;;-;Nachruf;-;17.12.76;-;MBNR.8.PER.244
Paul;Schallück;(EG);-;Nachruf;-;12.53.76;-;MBNR.8.PER.245
Anita;Schapira;Rez.Falästinabuch(Tobias);-;-;-;21.10.77;-;MBNR.8.PER.246
Frof.2.Hern.;Schanira;(Freeden);-;-;-;11.4.75;-;MBNR.8.PER.247
schimon;Schereschewsiy;75  (GStern);-;-;-;21.11.75;-;MBNR.8.PER.248
Hax;Schnebalg;Hl;-;Nachruf;-;30.4.76;-;MBNR.8.PER.249
salman;Schocken;Bibl.in  Eamburg  versteigert;-;-;-;21.11.75;-;MBNR.8.PER.250
;Scholem;Gershom  Freundschaft  m,\i,Benianin  HT;-;-;-;20.2.76;-;MBNR.8.PER.251
Armnold;Schönberg;(Grademwitz);-;-;-;26.3.75;-;MBNR.8.PER.252
;Schostakowitsch;Dimitri  üachruf;-;-;-;22.28.75;-;MBNR.8.PER.253
br.Alfrei;Schüler;br  Alfrei(URO);-;-;-;-;-;MBNR.8.PER.254
lieinrich;Schupler;70  ;-;-;-;30.9.77;-;MBNR.8.PER.255
Ludwig;Schwerin;75;-;-;-;8.7.77;-;MBNR.8.PER.256
ür.Hans;seelenfreund;75  (Lilienfeld);-;-;-;25.11.77;-;MBNR.8.PER.257
üregor;seral;iiachruf  (Kanowitz);-;-;-;7.11.75;-;MBNR.8.PER.258
!'rangois;Shapira;(iusiker)  ITodesnachricht;-;-;-;27.6.75;-;MBNR.8.PER.259
br.Felix;Shinnar;E.  70  HT;-;-;-;8.4.75;-;MBNR.8.PER.260
;Simon;rrof.&.A.  Brief  Rx  über  Ss,;-;-;-;14.10.77;-;MBNR.8.PER.261
Fritz;Simon;Hichael  üachruf  ER.;Dr.;-;-;5.11.76;-;MBNR.8.PER.262
;Sinasohn;ıiax  ii.  (Lehrer)  /ff  90  (PR);-;-;-;18.11.77;-;MBNR.8.PER.263
iian®s;Sperber;Biüchnerpreis;-;-;-;18.7.75;-;MBNR.8.PER.264
ialli;Spighel;80  Iu/;Dr.;-;-;15.6.75;-;MBNR.8.PER.265
Fred;Stern;B.  80  (EG);-;-;-;7.3.75;-;MBNR.8.PER.266
selma;Stern;85  HI  25,7.75;Prof.;-;-;-;-;MBNR.8.PER.267
Leopold;Stokowsld;;-;Nachruf;-;14.10.77;-;MBNR.8.PER.268
Georg;Strauss;Wachmuf;Dr.;-;-;7.35.75;-;MBNR.8.PER.269
ilenrietta;Szold;30.  Todestag(ırp);-;-;-;14.2.75;-;MBNR.8.PER.270
irof.David;Tachauer;90  (E.R.);-;-;-;28.2.75;-;MBNR.8.PER.271
